"","V1","V2"
"90",11.7524267,46.5106904
"91",11.7526253,46.5105147
"92",11.7531623,46.5101385
"93",11.7532333,46.5100996
"94",11.7534906,46.5099154
"95",11.7536782,46.5097353
"96",11.7538512,46.5096148
"97",11.75404,46.5094856
"98",11.7542849,46.5093817
"99",11.7546113,46.5092798
"100",11.7549799,46.5092521
"101",11.7554332,46.5092498
"102",11.756039,46.5092909
"103",11.7562731,46.5093563
"104",11.7566227,46.5095093
"105",11.757036,46.5097511
"106",11.7571872,46.5099399
"107",11.7573971,46.5101472
"108",11.7573338,46.5102132
"109",11.7571697,46.5101552
"110",11.757036,46.5097511
"111",11.7572146,46.5098493
"112",11.7574996,46.5100082
"113",11.7578583,46.5101836
"114",11.7581355,46.5102942
"115",11.7583699,46.5103417
"116",11.7587412,46.5104019
"117",11.758905,46.5104537
"118",11.7591131,46.5105183
"119",11.7593549,46.5106656
"120",11.7595313,46.5109257
"121",11.7596775,46.5111648
"122",11.7598399,46.5113624
"123",11.7600256,46.511527
"124",11.7604672,46.5118501
"125",11.7609202,46.5121287
"126",11.7612025,46.5123229
"127",11.7619164,46.5131668
"128",11.7621727,46.5135181
"129",11.7622905,46.5136425
"130",11.7624668,46.5138499
"131",11.7628997,46.5141239
"132",11.7637106,46.5145592
"133",11.7638991,46.5147057
"134",11.7664435,46.5164402
"135",11.7669787,46.5168375
"136",11.7672074,46.517018
"137",11.7674164,46.5172035
"138",11.7675037,46.5173077
"139",11.7676096,46.517506
"140",11.7676337,46.51769
"141",11.7675964,46.5180725
"142",11.767448,46.5184524
"143",11.7674701,46.5186591
"144",11.7675514,46.5188886
"145",11.7677848,46.5190806
"146",11.7680876,46.5193098
"147",11.7682589,46.5194588
"148",11.7683669,46.519637
"149",11.7684006,46.519795
"150",11.7683895,46.5200414
"151",11.7681723,46.5208475
"152",11.7681347,46.5213177
"153",11.7681225,46.5216544
"154",11.768164,46.5218536
"155",11.7683132,46.5221648
"156",11.7686189,46.5224498
"157",11.7688062,46.5226115
"158",11.7688062,46.5226115
"159",11.7688748,46.5226663
"160",11.7715883,46.532511
"161",11.7715055,46.5325962
"162",11.771442,46.5325843
"163",11.7712225,46.5324516
"164",11.7717546,46.5322605
"165",11.7715883,46.532511
"166",11.7715361,46.5327684
"167",11.7715317,46.5330376
"168",11.7715507,46.5332281
"169",11.7715854,46.5333374
"170",11.7716034,46.5334217
"171",11.7716104,46.5334857
"172",11.7716551,46.5337404
"173",11.7716524,46.5337891
"174",11.7716988,46.5340236
"175",11.7716944,46.5342538
"176",11.771693,46.5343849
"177",11.771683,46.534451
"178",11.8450289,46.5500886
"179",11.8452379,46.5500321
"180",11.8460998,46.5500451
"181",11.8467571,46.5502279
"182",11.8477496,46.5502715
"183",11.8489511,46.5502671
"184",11.8493472,46.550241
"185",11.8510038,46.5499021
"186",11.8512901,46.5498435
"187",11.8533886,46.5500438
"188",11.8534696,46.550136
"189",11.8533169,46.5501338
"190",11.8532692,46.550216
"191",11.8536044,46.5502879
"192",11.8534696,46.550136
"193",11.7503073,46.5189129
"194",11.7501942,46.5189697
"195",11.7502205,46.5190191
"196",11.7543033,46.5227807
"197",11.7556281,46.5239123
"198",11.7567644,46.5249925
"199",11.7576246,46.52546
"200",11.7580482,46.5259208
"201",11.7543033,46.5227807
"202",11.7545626,46.5250194
"203",11.7556364,46.5247472
"204",11.7561311,46.5247338
"205",11.7567644,46.5249925
"206",11.7464736,46.5251185
"207",11.7463262,46.5250552
"208",11.7464386,46.5249746
"209",11.7468239,46.5247292
"210",11.7476551,46.5246441
"211",11.7499244,46.5245769
"212",11.7514031,46.5247943
"213",11.7530081,46.5251389
"214",11.7536003,46.5250949
"215",11.7545626,46.5250194
"216",11.770141,46.5556193
"217",11.7689407,46.5558797
"218",11.7678331,46.5562487
"219",11.7675357,46.556256
"220",11.7669413,46.556157
"221",11.76662,46.5561555
"222",11.7663312,46.5561867
"223",11.7660641,46.5562149
"224",11.765654,46.5562757
