"","V1","V2"
"351",11.7709232,46.5548903
"352",11.7704701,46.5553669
"353",11.770141,46.5556193
"354",11.7936201,46.5515424
"355",11.7916196,46.5511709
"356",11.7884962,46.5512772
"357",11.7873654,46.5513511
"358",11.7861287,46.5516164
"359",11.7853335,46.551686
"360",11.7830502,46.5517186
"361",11.7824675,46.551722
"362",11.7799822,46.5519879
"363",11.7793095,46.552194
"364",11.7999827,46.5539431
"365",11.8000393,46.5540172
"366",11.8002045,46.5540665
"367",11.8002831,46.5540934
"368",11.8003832,46.554083
"369",11.8007216,46.5535463
"370",11.8015847,46.5525506
"371",11.8027874,46.5520264
"372",11.8041909,46.551708
"373",11.8058052,46.5512976
"374",11.8064358,46.5512289
"375",11.8076227,46.5512776
"376",11.8080911,46.5511508
"377",11.8086654,46.5508215
"378",11.8092619,46.5504219
"379",11.8095022,46.550293
"380",11.8097811,46.5501833
"381",11.8102117,46.5500508
"382",11.8106393,46.5498629
"383",11.8113349,46.5494701
"384",11.8121623,46.5491328
"385",11.8139362,46.5488038
"386",11.8156641,46.5485969
"387",11.8167306,46.5485398
"388",11.8177781,46.5485433
"389",11.818232,46.548466
"390",11.8187508,46.5483361
"391",11.8207502,46.5474877
"392",11.8209522,46.5473644
"393",11.868117,46.4758766
"394",11.8711007,46.4765176
"395",11.8726195,46.4772059
"396",11.8729581,46.4774651
"397",11.8736273,46.4779774
"398",11.8749706,46.4785789
"399",11.8757216,46.4787042
"400",11.8766437,46.4788232
"401",11.8774949,46.4789983
"402",11.8782787,46.4792995
"403",11.8789562,46.4797603
"404",11.8796341,46.4803837
"405",11.8798529,46.4807032
"406",11.8804111,46.4813954
"407",11.8806359,46.4816742
"408",11.8808558,46.4821417
"409",11.8807957,46.4827419
"410",11.8804364,46.4833125
"411",11.8795897,46.48416
"412",11.8793401,46.4843289
"413",11.8790042,46.4843715
"414",11.8777364,46.4844128
"415",11.8768462,46.4843236
"416",11.8763528,46.4841109
"417",11.875443,46.4840281
"418",11.8746534,46.4840991
"419",11.8739667,46.4844418
"420",11.8730054,46.4850446
"421",11.8724647,46.4856474
"422",11.8721499,46.4864535
"423",11.8723102,46.4872076
"424",11.8724475,46.4876803
"425",11.8726438,46.4881506
"426",11.8733312,46.4885528
"427",11.8737533,46.4887998
"428",11.8743828,46.4890676
"429",11.8748164,46.4894599
"430",11.8750148,46.4898126
"431",11.8753072,46.4905032
"432",11.8754869,46.4907858
"433",11.875554,46.4911311
"434",11.875511,46.4914856
"435",11.8754923,46.4918254
"436",11.875613,46.4921744
"437",11.8760394,46.4926785
"438",11.8764686,46.4934448
"439",11.8764832,46.4935802
"440",11.8764203,46.4936941
"441",11.8758705,46.4938972
"442",11.8752646,46.4941129
"443",11.8743293,46.4942738
"444",11.874153,46.4944974
"445",11.8741377,46.4946653
"446",11.8740702,46.4951653
"447",11.7502205,46.5190191
"448",11.7505035,46.5188972
"449",11.7460507,46.5052336
"450",11.7461398,46.5051621
"451",11.7469661,46.5043877
"452",11.7481406,46.5036045
"453",11.7485505,46.5033776
"454",11.7500456,46.5027773
"455",11.7506106,46.5025599
"456",11.7513946,46.5022418
"457",11.7517107,46.5021611
